track_name,track_pop,artist,artist_pop,album,length,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days
Criminal,1,NATTI NATASHA,71,Criminal,232549,0.816,0.806,2.0,-3.023,0.0,0.0563,0.0347,9.01e-05,0.255,0.822,79.987,2SmgFAhQkQCQPyBiBxR6Te,232550.0,4.0,Natti Natasha ❌ Ozuna - Criminal [Official Video],OZUNA & Natti Natasha,11962290,356100,1000
Estilo Vagabundo 3,9,MV Bill,51,Essencial,339746,0.769,0.645,11.0,-6.348,0.0,0.248,0.0526,1.98e-05,0.104,0.685,80.991,5ju9QHXhxoDCtp22MYftax,339747.0,4.0,MV BILL- Estilo Vagabundo 3 [Video Oficial],MV Bill & DJ Caique,22518507,355918,-1208
Снегом стать,39,Dj Antonio,34,Снегом стать,177436,0.768,0.822,9.0,-7.929,0.0,0.0449,0.00198,0.408,0.0906,0.85,121.998,1oshJcOHwZI1rcGwFusufG,177436.0,4.0,Dj Antonio - Снегом Стать,Dj Antonio,18689309,355900,-1400
Super Freak,0,Rick James,58,The Ultimate Collection: Rick James,204133,0.866,0.74,9.0,-7.386,0.0,0.0616,0.0639,0.0,0.0405,0.961,132.517,79ynnbIoeTY83kAGNycCth,204133.0,4.0,Rick James - Super Freak (Official Music Video),Rick James,234324182,355780,-762
"Sugar, Sugar",61,The Archies,55,"Sugar, Sugar",169626,0.757,0.647,2.0,-10.264,1.0,0.0299,0.757,3.08e-06,0.0972,0.97,122.771,4GAI8BxeMgrvhZNEU59UfR,169627.0,4.0,The Archies - Sugar Sugar (HQ Video with Lyrics & Piano Sheet),The Archies,56361457,355600,4665
sure thing (sped up),70,accelerate,57,sure thing (sped up),113053,0.661,0.511,9.0,-8.675,0.0,0.243,0.0435,0.0201,0.117,0.552,192.632,6fBiLOkPcQ3iFUpmIv88fQ,113054.0,4.0,sure thing (sped up),Tik Toker,345457505,355577,-1794
Bulletproof,27,Yung Ro,28,Bulletproof,94830,0.833,0.359,11.0,-9.442,1.0,0.7,0.0882,0.0,0.274,0.789,73.45,1WT73JXoncdQrcBYwCz25J,94830.0,4.0,Yung Ro - Bulletproof (Official Audio),Yung Ro,63456969,355382,-1448
Trigger,0,Dj Karri,35,Trigger,393743,0.62,0.3,1.0,-16.596,1.0,0.0773,0.0713,0.0794,0.0328,0.287,113.015,5UQPyDQmSLM9fb6d6nuD3s,393744.0,4.0,"DJ Karri - Trigger (Visualizer) ft.  Prime De 1st, BL Zero & Lebzito",user35555959124,39410772,355082,-1592
Diggy Down,0,INNA,69,Inna,191000,0.639,0.686,3.0,-7.09,0.0,0.0502,0.0125,0.000815,0.193,0.478,164.115,56rKxZXfFW90ONTkDbR6CB,191001.0,4.0,INNA - Diggy Down (feat. Marian Hill) | Official Music Video,Digu_kathi,23601496,354900,0
Numb,35,Linkin Park,83,Le Meilleur du Metal,187520,0.488,0.87,6.0,-4.185,0.0,0.0421,0.00353,0.0,0.484,0.211,110.072,2SrC3eKJkbnz4WWJufgBTS,187520.0,4.0,Numb (Official Music Video) [4K UPGRADE] – Linkin Park,Linkin Park,38604654,354700,7267
Djadja (feat. Maluma) - Remix,58,Aya Nakamura,70,NAKAMURA (Deluxe Edition),166850,0.791,0.682,5.0,-7.328,1.0,0.158,0.175,0.0,0.0926,0.672,98.031,13vDU8nPsvTGEVTMB8Vw7g,166851.0,4.0,AYA NAKAMURA feat. MALUMA – DJADJA Remix (Official Lyric Video),Aya Nakamura & Juan Luis,51452806,354658,752
