,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,viral
120,0.563,0.459,4.0,-7.781,0.0,0.0292,0.92,0.724,0.11,0.197,79.983,6potEImiklXkwD9qFzpu15,203232.653,4.0,1
122,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,6CDzDgIUqeDY5g8ujExx2f,237087.34699999998,4.0,1
123,0.656,0.627,7.0,-6.627,0.0,0.0379,0.343,2.17e-05,0.124,0.481,99.933,0mJBiaODgK0XjOLCN5fItq,165381.22400000002,4.0,1
124,0.706,0.774,11.0,-4.67,0.0,0.0793,0.00885,0.0,0.107,0.456,119.972,3TSRp3W6qysEZG9HQCBE27,161724.08200000002,4.0,1
125,0.578,0.449,0.0,-8.515,0.0,0.0845,0.365,0.0,0.11,0.827,205.858,3fYwdlIVtJlYJTvHYrt7ev,222563.265,4.0,1
126,0.604,0.366,5.0,-7.519,1.0,0.0282,0.578,0.0,0.133,0.13,141.981,0gplL1WMoJ6iYaPgMCL0gX,225854.694,4.0,1
127,0.561,0.599,2.0,-8.209,0.0,0.0749,0.00751,0.000701,0.316,0.264,125.874,4FYWOYqOF9lbb1JcZFDT67,192104.49,4.0,1
128,0.756,0.829,11.0,-3.973,1.0,0.0682,0.003,3.46e-05,0.0578,0.504,120.163,1wva1IlWLDNLgwipUWcmjy,247902.041,4.0,1
129,0.608,0.201,5.0,-17.267,0.0,0.0726,0.995,0.0277,0.106,0.0439,120.016,7AUCyNjckeQBBnKol7MZ59,38582.856999999996,4.0,1
130,0.718,0.403,2.0,-11.064,0.0,0.205,0.263,1.56e-06,0.228,0.636,129.582,4IOYk6epkzXT38U4ShauZ6,178442.44900000002,4.0,1
131,0.726,0.669,7.0,-11.499,1.0,0.362,0.0657,0.00408,0.101,0.391,144.086,7bqfhc8eb5RdSKR59yIqNU,152398.367,4.0,1
132,0.65,0.715,5.0,-5.198,0.0,0.253,0.0993,0.000291,0.126,0.187,106.672,1IHWl5LamUGEuP4ozKQSXZ,244140.408,4.0,1
133,0.885,0.685,11.0,-6.429,0.0,0.0627,0.33,0.0,0.148,0.937,99.954,2D0dj3hVkRQJCp63cxCPEx,144248.163,4.0,1
134,0.691,0.402,8.0,-12.149,1.0,0.0599,0.703,0.0,0.463,0.844,139.752,1XBc4r6ltXjkFJBrsttwIF,127634.28600000001,4.0,1
135,0.841,0.653,8.0,-6.978,1.0,0.375,0.212,0.0,0.0821,0.603,77.039,79fkjl9VtiLUl36ye9tMDP,135758.367,4.0,1
136,0.818,0.693,0.0,-15.818,0.0,0.117,0.0244,0.89,0.0925,0.968,119.968,7IEdlE4ZwzPDxnoWFv10aj,144143.673,4.0,1
137,0.541,0.153,6.0,-10.654,1.0,0.0303,0.882,1.66e-06,0.16,0.359,139.644,7F1CiKqrY44kh5cDqwHOnx,175333.878,4.0,1
138,0.77,0.699,0.0,-6.59,1.0,0.199,0.0596,1.65e-05,0.17,0.696,81.003,1ojBtNRMzjL7ptLPZCzfRz,165433.469,4.0,1
139,0.437,0.184,1.0,-17.667,1.0,0.0313,0.72,0.00253,0.113,0.247,80.088,18ddJHQ7CUzNBiy55L0Xjj,137247.34699999998,4.0,1
