track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Smooth Operator - Single Version,85,Sade,72,The Best of Sade,258693,spotify:track:1Hv1VTm8zeOeybub15mA2R,0.734,0.58,9,-6.619,0,0.0321,0.238,0.0006,0.0298,0.962,119.336,audio_features,1Hv1VTm8zeOeybub15mA2R,spotify:track:1Hv1VTm8zeOeybub15mA2R,https://api.spotify.com/v1/tracks/1Hv1VTm8zeOeybub15mA2R,https://api.spotify.com/v1/audio-analysis/1Hv1VTm8zeOeybub15mA2R,258693,4
Slayer,64,Bryce Savage,60,Slayer,204444,spotify:track:5QsrkC53zixsw2AUHNeVwp,0.723,0.501,5,-9.687,0,0.259,0.413,0.0,0.113,0.581,135.112,audio_features,5QsrkC53zixsw2AUHNeVwp,spotify:track:5QsrkC53zixsw2AUHNeVwp,https://api.spotify.com/v1/tracks/5QsrkC53zixsw2AUHNeVwp,https://api.spotify.com/v1/audio-analysis/5QsrkC53zixsw2AUHNeVwp,204444,4
Anti-Hero,95,Taylor Swift,100,Midnights,200690,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,audio_features,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,200690,4
Nobody Gets Me,86,SZA,87,SOS,180853,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,0.358,0.284,7,-8.285,1,0.0285,0.805,0.0,0.183,0.276,99.796,audio_features,5Y35SjAfXjjG0sFQ3KOxmm,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,https://api.spotify.com/v1/tracks/5Y35SjAfXjjG0sFQ3KOxmm,https://api.spotify.com/v1/audio-analysis/5Y35SjAfXjjG0sFQ3KOxmm,180853,3
BILLIE EILISH.,78,Armani White,63,BILLIE EILISH.,99282,spotify:track:27ZZdyTSQWI7Cug2d2PkqV,0.9,0.509,1,-6.647,1,0.257,0.115,1.67e-06,0.0937,0.765,100.007,audio_features,27ZZdyTSQWI7Cug2d2PkqV,spotify:track:27ZZdyTSQWI7Cug2d2PkqV,https://api.spotify.com/v1/tracks/27ZZdyTSQWI7Cug2d2PkqV,https://api.spotify.com/v1/audio-analysis/27ZZdyTSQWI7Cug2d2PkqV,99283,4
I Was Never There,89,The Weeknd,93,"My Dear Melancholy,",241066,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,audio_features,1cKHdTo9u0ZymJdPGSh6nq,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,https://api.spotify.com/v1/tracks/1cKHdTo9u0ZymJdPGSh6nq,https://api.spotify.com/v1/audio-analysis/1cKHdTo9u0ZymJdPGSh6nq,241067,4
Solita,49,Pawl,39,Solita,155000,spotify:track:779nxgE1KYu965I94KgpVq,0.73,0.81,1,-5.121,0,0.0353,0.0723,0.0212,0.293,0.633,128.016,audio_features,779nxgE1KYu965I94KgpVq,spotify:track:779nxgE1KYu965I94KgpVq,https://api.spotify.com/v1/tracks/779nxgE1KYu965I94KgpVq,https://api.spotify.com/v1/audio-analysis/779nxgE1KYu965I94KgpVq,155000,4
I Ain't Worried,94,OneRepublic,81,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",148485,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,audio_features,4h9wh7iOZ0GGn8QVp4RAOB,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/tracks/4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/audio-analysis/4h9wh7iOZ0GGn8QVp4RAOB,148486,4
Sure Thing,91,Miguel,77,All I Want Is You,195373,spotify:track:0JXXNGljqupsJaZsgSbMZV,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,audio_features,0JXXNGljqupsJaZsgSbMZV,spotify:track:0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/tracks/0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/audio-analysis/0JXXNGljqupsJaZsgSbMZV,195373,4
Super Freaky Girl,80,Nicki Minaj,85,Super Freaky Girl,170977,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,audio_features,4C6Uex2ILwJi9sZXRdmqXp,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,https://api.spotify.com/v1/tracks/4C6Uex2ILwJi9sZXRdmqXp,https://api.spotify.com/v1/audio-analysis/4C6Uex2ILwJi9sZXRdmqXp,170977,4
Last Friday Night,43,Niteblue,50,Last Friday Night,140000,spotify:track:1AiW7wZkqJEqAToz0nIxo8,0.713,0.829,6,-5.041,1,0.0633,0.00222,0.0,0.232,0.707,126.027,audio_features,1AiW7wZkqJEqAToz0nIxo8,spotify:track:1AiW7wZkqJEqAToz0nIxo8,https://api.spotify.com/v1/tracks/1AiW7wZkqJEqAToz0nIxo8,https://api.spotify.com/v1/audio-analysis/1AiW7wZkqJEqAToz0nIxo8,140000,4
Bloody Mary,83,Lady Gaga,83,Born This Way (International Special Edition Version),244760,spotify:track:53jnnqFSRGMDB9ADrNriCA,0.591,0.637,9,-6.365,0,0.03,0.0107,1.95e-06,0.113,0.432,99.998,audio_features,53jnnqFSRGMDB9ADrNriCA,spotify:track:53jnnqFSRGMDB9ADrNriCA,https://api.spotify.com/v1/tracks/53jnnqFSRGMDB9ADrNriCA,https://api.spotify.com/v1/audio-analysis/53jnnqFSRGMDB9ADrNriCA,244760,4
Sinner,68,Nu Aspect,60,Sinner,191166,spotify:track:1WumDA51R5dHvmRVhmoP6t,0.707,0.934,0,-5.911,1,0.0395,0.0967,0.207,0.085,0.546,135.99,audio_features,1WumDA51R5dHvmRVhmoP6t,spotify:track:1WumDA51R5dHvmRVhmoP6t,https://api.spotify.com/v1/tracks/1WumDA51R5dHvmRVhmoP6t,https://api.spotify.com/v1/audio-analysis/1WumDA51R5dHvmRVhmoP6t,191166,4
Under The Influence (Body Language),71,Chris Brown,84,Under The Influence,148750,spotify:track:71mHO4fFmS2Xu5XxZbcRND,0.62,0.62,1,-6.322,0,0.0375,0.0388,0.000213,0.129,0.459,144.835,audio_features,71mHO4fFmS2Xu5XxZbcRND,spotify:track:71mHO4fFmS2Xu5XxZbcRND,https://api.spotify.com/v1/tracks/71mHO4fFmS2Xu5XxZbcRND,https://api.spotify.com/v1/audio-analysis/71mHO4fFmS2Xu5XxZbcRND,148751,4
Here With Me,76,d4vd,77,Here With Me,242484,spotify:track:78Sw5GDo6AlGwTwanjXbGh,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,audio_features,78Sw5GDo6AlGwTwanjXbGh,spotify:track:78Sw5GDo6AlGwTwanjXbGh,https://api.spotify.com/v1/tracks/78Sw5GDo6AlGwTwanjXbGh,https://api.spotify.com/v1/audio-analysis/78Sw5GDo6AlGwTwanjXbGh,242485,4
Rich Flex,90,Drake,94,Her Loss,239359,spotify:track:1bDbXMyjaUIooNwFE9wn0N,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,audio_features,1bDbXMyjaUIooNwFE9wn0N,spotify:track:1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/tracks/1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/audio-analysis/1bDbXMyjaUIooNwFE9wn0N,239360,3
About Damn Time,82,Lizzo,75,About Damn Time,191822,spotify:track:1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,audio_features,1PckUlxKqWQs3RlWXVBLw3,spotify:track:1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/tracks/1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/audio-analysis/1PckUlxKqWQs3RlWXVBLw3,191822,4
Romantic Homicide,91,d4vd,77,Romantic Homicide,132630,spotify:track:1xK59OXxi2TAAAbmZK0kBL,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,audio_features,1xK59OXxi2TAAAbmZK0kBL,spotify:track:1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/tracks/1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/audio-analysis/1xK59OXxi2TAAAbmZK0kBL,132631,4
Walking on Sunshine,69,CARSTN,53,Walking on Sunshine,161641,spotify:track:1Z18G3Uk0uIgGwa8ugDhrX,0.727,0.899,10,-4.962,1,0.0384,0.0852,0.0,0.508,0.634,114.979,audio_features,1Z18G3Uk0uIgGwa8ugDhrX,spotify:track:1Z18G3Uk0uIgGwa8ugDhrX,https://api.spotify.com/v1/tracks/1Z18G3Uk0uIgGwa8ugDhrX,https://api.spotify.com/v1/audio-analysis/1Z18G3Uk0uIgGwa8ugDhrX,161642,4
CUFF IT,90,Beyoncé,85,RENAISSANCE,225388,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,audio_features,1xzi1Jcr7mEi9K2RfzLOqS,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/tracks/1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/audio-analysis/1xzi1Jcr7mEi9K2RfzLOqS,225389,4
Me and U,53,Gorgon Breath,47,Me and U,153000,spotify:track:1JlpuDsMEpvNE5a3uS3LfE,0.65,0.698,5,-8.113,1,0.0369,0.147,0.0254,0.2,0.541,119.94,audio_features,1JlpuDsMEpvNE5a3uS3LfE,spotify:track:1JlpuDsMEpvNE5a3uS3LfE,https://api.spotify.com/v1/tracks/1JlpuDsMEpvNE5a3uS3LfE,https://api.spotify.com/v1/audio-analysis/1JlpuDsMEpvNE5a3uS3LfE,153000,4
