artist,title,album,length,popularity,id
Polo G,RAPSTAR,RAPSTAR,165925,7,43PGPuHIlVOc04jrZVh9L6
Doja Cat,Ain't Shit,Planet Her,174253,81,5lAnYvAIkSDNXqfo7DyFUm
Lucas Estrada,That Could Be Us,That Could Be Us,124957,62,5Jo1DvQ6auXLFx6QD3SC5I
ALTÉGO,Toxic Pony,Toxic Pony,198041,70,6QHXcb0eFwOKZOZ9bOFmxm
Nelly Furtado,Say It Right,Loose,223080,83,2aI21FnmY7TJVKeMaoQZ0t
Nito-Onna,Heart of Glass,Heart of Glass,144244,46,0oJNUbobAD9a4oVjJGOqGy
Nathan Evans,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),116750,75,3iw6V4LH7yPj1ESORX9RIN
Reyanna Maria,So Pretty,So Pretty,85741,66,1yLTcitjbEJr7a4jyDB0Lz
Rauw Alejandro,Todo De Ti,Todo De Ti,199604,81,4fSIb4hdOQ151TILNsSEaF
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),Justice,198081,86,4iJyoBOLtHqaGxP12qzhQI
Alex Alexander,Dopamine,On My Way,136213,37,1v6wmQg54jBEGpARPrry7N
LIZZIP,End Of Time,End Of Time,140781,48,4p5AebH0oGdzLakzHjCdR4
Ariana Grande,positions,positions,172324,2,7igeByaBM0MgGsgXtNxDJ7
Majestic,Rasputin,Rasputin,186209,81,0b18g3G5spr4ZCkz7Y6Q0Q
VANO 3000,Running Away,Running Away,111786,40,2lDODk7inZnmUHbIjUnIwP
Dua Lipa,Levitating (feat. DaBaby),Future Nostalgia,203064,87,5nujrmhLynf4yMoMtj8AQF
Kayla Nicole,Bundles (feat. Taylor Girlz),Bundles (feat. Taylor Girlz),154805,66,3QqYZWQLn0evKMIRlGJeeR
Lil Tjay,Calling My Phone,Calling My Phone,205458,2,5Kskr9LcNYa0tpt5f0ZEJx
Curtis Waters,Stunnin' (feat. Harm Franklin),Stunnin' (feat. Harm Franklin),144000,66,2D0dj3hVkRQJCp63cxCPEx
Doja Cat,You Right,Planet Her,186173,84,0k4d5YPDr1r7FX77VdqWez
CJ,Whoopty,Whoopty,123262,74,5vGLcdRuSbUhD8ScwsGSdA
BØRNS,Electric Love,Dopamine,218106,84,2GiJYvgVaD2HtM8GqD9EgQ
Bee Gees,More Than A Woman,How Can You Mend A Broken Heart,196213,78,2cX2coZS1PYBfPs8wgbdWE
