track_name,track_pop,artist,artist_pop,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artist_name,total_likes_count,number_of_videos,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc
Rocc Climbing (feat. Lil Yachty),61,Remble,54,Rocc Climbing (feat. Lil Yachty),0.832,0.656,4.0,-7.492,0.0,0.375,0.316,2.13e-06,0.108,0.562,100.032,5bBzkJE9BqYTL27webAUCw,175878.0,4.0,lilyachty,186321346,279160,0.390354722738266,0.20280128717422485,2180.0326107192054,2053.9006846567154,4200.382934192386,0.11259701377467106,-5.341616630554199
Hold On (feat. Cheat Codes) - 2020 Edit,52,MOGUAI,53,Hold On (feat. Cheat Codes) [2020 Edit],0.622,0.802,9.0,-4.969,0.0,0.167,0.17,0.0,0.263,0.764,124.859,2FGh2ref26EwA3Z5st5oHb,144910.0,4.0,MOGUAI & Cheat Codes,186015968,1100000,0.34298497438430786,0.2182164192199707,2074.5098014467185,2123.1136767522653,4281.124112628193,0.10314487894253097,-2.5938031673431396
Kill This Love,0,BLACKPINK,82,Kill This Love,0.738,0.861,2.0,-4.141,1.0,0.237,0.32,0.00175,0.325,0.58,131.974,3VHrwffnUZFb7FidvPV3OA,189052.0,4.0,blackpinkofficial,185838030,1500000,0.4059545695781708,0.08942056447267532,3300.05527418654,2570.601109400907,6209.9291160748835,0.19842756052873453,-8.572799682617188
double take,1,dhruv,66,double take,0.654,0.434,8.0,-11.163,1.0,0.0665,0.837,0.0,0.216,0.223,109.069,2CVChktEKBsM6v4IfdFU5k,171743.0,4.0,dhruv,185596913,437600,0.3219763934612274,0.14671386778354645,1634.373642735267,2107.0359561117857,3167.8141779943885,0.06066252055921053,-9.861382484436035
Same Ol’ Mistakes,66,Rihanna,87,ANTI (Deluxe),0.44,0.803,8.0,-5.415,1.0,0.0443,0.199,0.00282,0.0591,0.501,151.777,6RtzmszGXs32TRhv5zTKNM,397093.0,4.0,nadegemferi,185360296,376880,0.39056020975112915,0.22644257545471191,2047.8710135244205,2381.346614600325,4505.801920698892,0.08266238752902477,3.04831862449646
Can We Kiss Forever?,0,Kina,64,Can We Kiss Forever?,0.493,0.13,4.0,-18.725,1.0,0.0369,0.898,0.0223,0.0941,0.119,109.852,1Av69kr9JitqPWo7WJLS5q,187899.0,4.0,kinabeats,185340932,10877240,0.24073059856891632,0.030408525839447975,1345.0605662845455,1705.2640581031217,2327.0609285809305,0.05681466022881192,-22.302356719970703
Hati-Hati di Jalan,79,Tulus,73,Manusia,0.643,0.436,6.0,-11.322,1.0,0.0357,0.702,0.0889,0.115,0.755,71.969,2hHeGD57S0BcopfVcmehdl,242000.0,4.0,Tulus,185299873,364430,0.317972332239151,0.17256221175193787,1124.539504843524,1615.1690514885438,2122.4288326298856,0.04300503095975232,0.6890997886657715
Two®,65,Lil Uzi Vert,87,Luv Is Rage 2,0.266,0.642,7.0,-5.133,1.0,0.0694,0.424,0.0,0.0943,0.0371,75.022,65kp3OFn7JXbCvkm3m2Ui2,185276.0,4.0,Lil Uzi Vert,185051390,314598,0.3859921097755432,0.22758828103542328,1703.388042134831,1972.294681074521,3442.7375155705786,0.0837986240446014,3.7518563270568848
Subhan Allah,45,Ali Dawud,27,Subhan Allah,0.227,0.241,8.0,-15.791,0.0,0.0331,0.981,0.944,0.139,0.0782,130.697,10ZpnsXfwWzxromZm7g4sf,326810.0,3.0,Ali Dawud,184895669,3042852,0.27821001410484314,0.14693191647529602,791.6945869341632,1051.9616374619152,1098.3516917509191,0.04384421711735681,-8.435667991638184
Barbie Girl - I'm a Barbie Girl,30,Lady Aqua,44,Hello (I Want U Back With Ur Love),0.751,0.947,11.0,-2.96,1.0,0.0597,0.0178,0.0184,0.372,0.709,129.959,2pGVxp5m3Wam5G8mmg8ujC,209893.0,4.0,Lady Aqua,183828516,5171432,0.44901755452156067,0.16916903853416443,2772.954596702789,2648.772283137683,5743.290271109472,0.1237539757885062,2.109591484069824
No Me Diga,53,Daphne Rubin-Vega,46,In The Heights (Original Motion Picture Soundtrack),0.497,0.474,8.0,-6.964,1.0,0.073,0.541,0.0,0.0942,0.945,163.661,0ystGIV4kUJf6GIhgc6b6N,144599.0,4.0,In The Heights,183791931,147900,0.33176618814468384,0.14253994822502136,2205.280518600663,2287.0769832621945,4548.264163935517,0.09755855595733359,-1.2563579082489014
Greek Tragedy - Oliver Nelson TikTok Remix,0,The Wombats,62,Sounds of Summer 2021,0.736,0.764,8.0,-6.736,0.0,0.0482,0.222,0.00154,0.192,0.404,112.033,71RP6f27Z0HnSwhnCLi0Sx,306429.0,4.0,The Wombats,183501717,274300,0.43533656001091003,0.1292501538991928,2212.882368835014,2393.0107001887727,4803.470954068305,0.0948713084123452,-1.9236276149749756
