track_name,track_pop,artist,artist_pop,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artist_name,total_likes_count,number_of_videos,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc
The Story Continues,46,Patrick Doyle,53,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),0.228,0.29,0.0,-16.318,1.0,0.0407,0.37,0.928,0.494,0.115,124.267,2pYtUiFhiRH5ssLl7wBK4v,89187.0,4.0,Harry Potter Story’s!!,284668533,206400,0.3869128823280334,0.0970346927642822,1152.4589772391153,1427.136075940493,2295.386120114164,0.0643711149138931,-0.5498207211494446
If We Ever Broke Up,40,Mae Stephens,65,If We Ever Broke Up (Sped Up),0.898,0.746,7.0,-4.0,1.0,0.0433,0.606,5.97e-06,0.0917,0.951,115.943,1zzj42DqJEowqU60ZkMbXw,142759.0,4.0,Mae Stephens,284473144,14142864,0.3363098204135895,0.2640967667102813,1675.7042645589631,1932.1002786370336,3539.511930388932,0.0652445034345975,-3.274163007736206
HOLIDAY,50,Lil Nas X,76,HOLIDAY,0.817,0.506,5.0,-6.996,0.0,0.166,0.122,0.0,0.0846,0.807,151.975,1EHWTyklqY1X4UGRylJTU3,154998.0,4.0,lil nas x,283326642,653904,0.4044789671897888,0.2157089859247207,2443.107561601318,2649.9124868348595,5452.725361449062,0.0918395807130418,2.1107685565948486
Float on the Sound (Ey),43,Tiagz,40,Float on the Sound (Ey),0.882,0.484,2.0,-7.127,0.0,0.475,0.833,0.000382,0.113,0.409,109.994,48f5cx8xH0uX81k7JUq7K1,152744.0,4.0,Tiagz,283216410,947616,0.2989769577980041,0.1712589859962463,1924.7841566801064,1883.7455499280725,3591.769947725184,0.0856355365953947,-11.05829906463623
Call me,1,90sFlav,49,Collection,0.748,0.265,8.0,-12.074,0.0,0.229,0.952,0.917,0.0866,0.14,77.009,34A2accnIDPOhkRltN8KJY,126250.0,4.0,90sFlav,282407994,555310,0.2751078903675079,0.0833891779184341,1037.3423985264635,914.9612333315756,1754.589390238003,0.0732950972329721,-9.85500431060791
How Bizarre,63,OMC,50,How Bizarre,0.783,0.676,0.0,-7.737,1.0,0.0469,0.269,0.0,0.5,0.824,124.922,0wJyFu6JHwUoKQN5X3uzVe,224200.0,4.0,OMC,282176395,267300,0.4335466921329498,0.2119390964508056,1942.6556689163524,2469.928072803375,4606.480478576093,0.0582419002757352,5.600768566131592
Rocking A Cardigan in Atlanta,65,lil Shordie Scott,44,Rocking A Cardigan in Atlanta,0.803,0.64,1.0,-4.721,1.0,0.151,0.583,0.000331,0.437,0.816,140.073,0N0h5lXc4HOiLgGb9EZi8m,96826.0,4.0,lil Shordie Scott,281378920,543020,0.2097180187702179,0.1866391003131866,1865.1535747583591,1520.7479548251242,3289.288443456124,0.1323000314434984,-2.687354564666748
First Class,26,Jack Harlow,77,First Class,0.905,0.563,8.0,-6.135,1.0,0.102,0.0254,9.71e-06,0.113,0.324,106.998,1rDQ4oMwGJI7B4tovsBOxc,173948.0,4.0,Jack Harlow,280252724,484700,0.4906116724014282,0.2456563413143158,2040.234766007028,2334.586627599946,4509.681063908911,0.0570442506772445,2.40781044960022
Run It! (feat. Juelz Santana),76,Chris Brown,84,Chris Brown (Expanded Edition),0.846,0.482,1.0,-6.721,0.0,0.129,0.0246,0.0,0.393,0.212,100.969,7xYnUQigPoIDAMPVK79NEq,229867.0,4.0,nrlsbest,280100282,760356,0.4090268015861511,0.1776513904333114,2766.267973811671,2711.898942838545,5931.355800569611,0.1190574811339009,-0.6534222960472107
I Got 5 On It - Tethered Mix from US,47,Michael Abels,35,Us (Original Motion Picture Soundtrack),0.32,0.361,10.0,-12.947,0.0,0.0632,0.724,0.101,0.518,0.269,53.246,5TvLB4zBOFWHcnDoWVI4Mw,103147.0,3.0,Michael Abels & Luniz,277730314,347800,0.2698802053928375,0.0917845368385315,1619.6513986670543,1669.3335736158688,3200.5389801119877,0.1163273389125387,-11.231511116027832
